study_idx,iso3,country,kp,year,study,author,link,public_report
11,BEN,Benin,FSW,2017,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2017) (Travailleuses de Sexe, Serveuses de Bar et Restaurants & Clients PS)",Benin MoH,,Yes
11,BEN,Benin,CFSW,2017,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2017) (Travailleuses de Sexe, Serveuses de Bar et Restaurants & Clients PS)",Benin MoH,,Yes
12,BEN,Benin,MSM,2017,Enquete De Surveillance De Deuxieme Generation (Esdg) Sur Le VIH Et Le Sida Au Sein De La Population Des Hommes Ayant Des Rapports Sexuels Avec d'Autres Hommes (HSH) Au Benin,"Benin MoH, PLAN International Benin",,Yes
13,BEN,Benin,MSM,2014,Etude De Suivi De Cohorte Pour l'Estimation De l'Incidence Du VIH Et De La Taille De La Population Des HSH Au Benin,"Benin MoH, PLAN Benin",,Yes
14,BEN,Benin,MSM,2013,ENQUETE DE SURVEILLANCE DE DEUXIEME GENERATION (ESDG) DU VIH ET DES IST AUPRES DES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES (HSH) AU BENIN,"Benin MoH, PLAN Benin",,Yes
15,BEN,Benin,PWID,2013,EnquÃªte de surveillance de deuxiÃ¨me gÃ©nÃ©ration du VIH et des IST auprÃ¨s des utilisateurs de drogues injectables au BÃ©nin,PLAN Benin,,Yes
16,BEN,Benin,MSM,2015,Enquete De Surveillance De Deuxieme Generation (ESDG) Sur Le VIH Au Sein De La Population Des Hommes Ayant Des Rapports Sexuels Avec d'Autres Hommes (HSH) Au Benin,"Benin MoH, PLAN Benin",,Yes
17,BEN,Benin,PWID,2017,"ENQUETE DE SURVEILLANCE DE DEUXIEME GENERATION RELATIVE AUX IST, VIH ET SIDA (ESDGE) EDITION 2017 Cibles: Consommateurs de Drogues par Injection (CDI)","PLAN Benin, INACES-SARL",,Yes
22,BEN,Benin,TG,2020,"Enquete Bio-Comportementale, Cartographie Et Estimation De La Taille Des Transgenres Au Benin, 2020","Benin MoH, PLAN International Benin",,Yes
23,BEN,Benin,PWID,2015,Enquete De Surveillance De Deuxieme Generation (Comportementale Et Biologique) 2015 (PWID),"Benin MoH, PLAN Benin",,Yes
24,BFA,Burkina Faso,FSW,2010,ENQUÃŠTE DE SURVEILLANCE COMPORTEMENTALE AUPRÃˆS DES GROUPES A HAUT RISQUE : TRAVAILLEUSES DU SEXE (TS) ET LEURS CLIENTS AU BURKINA FASO,Burkina Faso MoH,,Yes
24,BFA,Burkina Faso,CFSW,2010,ENQUÃŠTE DE SURVEILLANCE COMPORTEMENTALE AUPRÃˆS DES GROUPES A HAUT RISQUE : TRAVAILLEUSES DU SEXE (TS) ET LEURS CLIENTS AU BURKINA FASO,Burkina Faso MoH,,Yes
26,BFA,Burkina Faso,MSM,2013,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,BFA,Burkina Faso,TG,2013,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,CIV,Côte d’Ivoire,MSM,2015,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,CIV,Côte d’Ivoire,TG,2015,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,GMB,Gambia,TG,2011,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,GMB,Gambia,MSM,2011,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,LSO,Lesotho,MSM,2014,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,LSO,Lesotho,TG,2014,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,MWI,Malawi,MSM,2011,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,MWI,Malawi,TG,2011,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,SEN,Senegal,MSM,2015,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,SEN,Senegal,TG,2015,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,SWZ,Eswatini,MSM,2011,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,SWZ,Eswatini,TG,2011,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,TGO,Togo,MSM,2013,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
26,TGO,Togo,TG,2013,HIV prevalence and behavioral and psychosocial factors among transgender women and cisgender men who have sex with men in 8 African countries: A cross-sectional analysis,Poteat et al.,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002422,Yes
27,BFA,Burkina Faso,FSW,2013,Using Population-Size Estimation and Cross-sectional Survey Methods to Evaluate HIV Service Coverage Among Key Populations in Burkina Faso and Togo,Holland et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5230836/,Yes
27,BFA,Burkina Faso,MSM,2013,Using Population-Size Estimation and Cross-sectional Survey Methods to Evaluate HIV Service Coverage Among Key Populations in Burkina Faso and Togo,Holland et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5230836/,Yes
27,TGO,Togo,FSW,2013,Using Population-Size Estimation and Cross-sectional Survey Methods to Evaluate HIV Service Coverage Among Key Populations in Burkina Faso and Togo,Holland et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5230836/,Yes
27,TGO,Togo,MSM,2013,Using Population-Size Estimation and Cross-sectional Survey Methods to Evaluate HIV Service Coverage Among Key Populations in Burkina Faso and Togo,Holland et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5230836/,Yes
28,BFA,Burkina Faso,MSM,2017,Heterogeneity in the Prevalence of High-Risk Human Papillomavirus Infection in Human Immunodeficiency Virus-Negative and Human Immunodeficiency Virus-Positive Men Who Have Sex With Men in West Africa,Yaya et al,https://academic.oup.com/cid/article/73/12/2184/6144992?login=true#no-access-message#no-access-message,Yes
28,CIV,Côte d’Ivoire,MSM,2017,Heterogeneity in the Prevalence of High-Risk Human Papillomavirus Infection in Human Immunodeficiency Virus-Negative and Human Immunodeficiency Virus-Positive Men Who Have Sex With Men in West Africa,Yaya et al,https://academic.oup.com/cid/article/73/12/2184/6144992?login=true#no-access-message#no-access-message,Yes
28,MLI,Mali,MSM,2017,Heterogeneity in the Prevalence of High-Risk Human Papillomavirus Infection in Human Immunodeficiency Virus-Negative and Human Immunodeficiency Virus-Positive Men Who Have Sex With Men in West Africa,Yaya et al.,https://academic.oup.com/cid/article/73/12/2184/6144992?login=true#no-access-message#no-access-message,Yes
28,TGO,Togo,MSM,2017,Heterogeneity in the Prevalence of High-Risk Human Papillomavirus Infection in Human Immunodeficiency Virus-Negative and Human Immunodeficiency Virus-Positive Men Who Have Sex With Men in West Africa,Yaya et al.,https://academic.oup.com/cid/article/73/12/2184/6144992,Yes
29,BFA,Burkina Faso,FSW,2017,"Cartographie Programmatique, Estimation De La Taille Et Enquete Bio- Comportementale Parmi Les Populations Cles (PS, HSH, UD) Au Burkina Faso",Burkina Faso MoH,,Yes
29,BFA,Burkina Faso,MSM,2017,"Cartographie Programmatique, Estimation De La Taille Et Enquete Bio- Comportementale Parmi Les Populations Cles (PS, HSH, UD) Au Burkina Faso",Burkina Faso MoH,,Yes
29,BFA,Burkina Faso,PWID,2017,"Cartographie Programmatique, Estimation De La Taille Et Enquete Bio- Comportementale Parmi Les Populations Cles (PS, HSH, UD) Au Burkina Faso",Burkina Faso MoH,,Yes
30,BWA,Botswana,FSW,2017,Mapping & Size Estimation Of Select Key Populations In Botswana (2017),Botswana MoH,http://www.achap.org/resources/library/Mapping%20and%20Size%20Estimation%20Report%202017.pdf,Yes
30,BWA,Botswana,MSM,2017,Mapping & Size Estimation Of Select Key Populations In Botswana (2017),Botswana MoH,http://www.achap.org/resources/library/Mapping%20and%20Size%20Estimation%20Report%202017.pdf,Yes
30,BWA,Botswana,PWID,2017,Mapping & Size Estimation Of Select Key Populations In Botswana (2017),Botswana MoH,http://www.achap.org/resources/library/Mapping%20and%20Size%20Estimation%20Report%202017.pdf,Yes
30,BWA,Botswana,TG,2017,Mapping & Size Estimation Of Select Key Populations In Botswana (2017),Botswana MoH,http://www.achap.org/resources/library/Mapping%20and%20Size%20Estimation%20Report%202017.pdf,Yes
31,BWA,Botswana,FSW,2017,2017 biological and behavioural surveillance survey of HIV/STIs among select Key Populations,Botswana MoH,,Yes
31,BWA,Botswana,MSM,2017,2017 biological and behavioural surveillance survey of HIV/STIs among select Key Populations,Botswana MoH,,Yes
31,BWA,Botswana,TG,2017,2017 biological and behavioural surveillance survey of HIV/STIs among select Key Populations,Botswana MoH,,Yes
32,BWA,Botswana,FSW,2012,"2012 Mapping, Size Estimation & Behavioral and Biological Surveillance Survey (BBSS) of HIV/STI Among Select High-Risk Sub-Populations in Botswana",Botswana MoH,https://www.fhi360.org/sites/default/files/media/documents/BBSS%202012%20Final.pdf,Yes
32,BWA,Botswana,MSM,2012,"2012 Mapping, Size Estimation & Behavioral and Biological Surveillance Survey (BBSS) of HIV/STI Among Select High-Risk Sub-Populations in Botswana",Botswana MoH,https://www.fhi360.org/sites/default/files/media/documents/BBSS%202012%20Final.pdf,Yes
33,CAF,Central African Republic,FSW,2019,"Enquete Sur La Cartographie, l'Estimation De La Taille Des Professionnelles De Sexe Et Des Hommes Ayant Des Rapports Sexuels Avec d'Autres Hommes a Bangui, Boali, Bouar, Carnot Et Berberati En Republique Centrafricaine En 2019",Central African Republic MoH,,Yes
33,CAF,Central African Republic,MSM,2019,"Enquete Sur La Cartographie, l'Estimation De La Taille Des Professionnelles De Sexe Et Des Hommes Ayant Des Rapports Sexuels Avec d'Autres Hommes a Bangui, Boali, Bouar, Carnot Et Berberati En Republique Centrafricaine En 2019",Central African Republic MoH,,Yes
34,CAF,Central African Republic,MSM,2010,Unusual and unique distribution of anal high-risk human papillomavirus (HR-HPV) among men who have sex with men living in the Central African Republic,Bouassa et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5967740/,Yes
35,CAF,Central African Republic,FSW,2019,"Rapport de l'Enquete de la Determination du Comportement et du Profil Serologique Lies aux IST/VIH Chex les Professionnelles de Sexe a Bangui, Boali, Bouar, Carnot et Berberati en Republique Centrafricaine en 2019.",Central African Republic MoH,,Yes
35,CAF,Central African Republic,MSM,2019,"Rapport de l'Enquete de la Determination du Comportement et du Profil Serologique Lies aux IST/VIH des Hommes Ayant des Rapports Sexuels avec d'Autres Hommes a Bangui, Boali, Bouar, Carnot et Berberati en Republique Centrafricaine en 2019.",Central African Republic MoH,,Yes
38,CIV,Côte d’Ivoire,MSM,2012,"Ã‰TUDE SUR LE VIH ET LES FACTEURS DE RISQUES ASSOCIÃ‰S CHEZ LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC DES HOMMES A ABIDJAN, CÃ”TE Dâ€™IVOIRE",Côte d’Ivoire MoH,,Yes
39,CIV,Côte d’Ivoire,PWID,2014,"SantÃ© des personnes usagÃ¨res de drogue Ã Abidjan en CÃ´te dâ€™Ivoire: PrÃ©valence et pratiques Ã risque dâ€™infection par le VIH, les hÃ©patites virales, et autres infections",Médecins du Monde,https://plateforme-elsa.org/wp-content/uploads/2015/02/MDM_Rapport_Sante_UD_Abidjan-20141104.pdf,Yes
41,CIV,Côte d’Ivoire,MSM,2015,"Etude Biologique Et Comportementale Des IST, Du VIH Et Du Sida Chez Les Hommes Ayant Des Rapports Sexuels Avec Des Hommes Des Villes D,Aoabidjan, Agboville, Bouakeaa, Gagnoa, Et Yamoussoukro","Côte d’Ivoire MoH, Enda Sante, JHU",https://www.endasanteci.org/images/rapport/rapport_IBBS_MSM_2015_2016.pdf,Yes
42,CIV,Côte d’Ivoire,MSM,2014,"Prevalence and risk factors associated with HIV and tuberculosis in people who use drugs in Abidjan, Ivory Coast",Bouscaillou et al.,https://www.sciencedirect.com/science/article/abs/pii/S0955395916300196,Yes
42,CIV,Côte d’Ivoire,PWID,2014,"Prevalence and risk factors associated with HIV and tuberculosis in people who use drugs in Abidjan, Ivory Coast",Bouscaillou et al.,https://www.sciencedirect.com/science/article/abs/pii/S0955395916300196,Yes
44,CIV,Côte d’Ivoire,MSM,2017,"Survey Of HIV And Associated Risk Factors Among Men Who Have Sex With Men In San Pedro, Câ€šÃ Ã¶Ite D'ivoire",Côte d’Ivoire MoH,,Yes
46,CIV,Côte d’Ivoire,FSW,2020,"Enquete Bio-Comportementale Et Cartographique En Direction Des Travailleuses De Sexe Dans Cinq Localites De La Cote D'ivoire : Katiola, Yamoussoukro, Soubre, Aboisso, Agboville.",Côte d’Ivoire MoH,,Yes
47,CIV,Côte d’Ivoire,PWID,2020,Enquete Bio-Comportementale Chez Les Usagers De Drogues Y Compris Les Usagers De Drogues Injectables A Abidjan,Côte d’Ivoire MoH,,Yes
48,CIV,Côte d’Ivoire,MSM,2020,"Enqueacte Bio Comportementale Du VIH Et De La Syphilis Chez Les Hommes Ayant Des Rapports Sexuels Avec D,Aoautres Hommes (HSH) Dans Les Villes De Divo, Daloa, Abengourou, Bouafleaa Et Korhogo",Côte d’Ivoire MoH,,Yes
51,CMR,Cameroon,FSW,2013,Antiretroviral Treatment Coverage For Men Who Have Sex With Men And Female Sex Workers Living With HIV In Cameroon,Holland et al.,https://pubmed.ncbi.nlm.nih.gov/25723989/,Yes
51,CMR,Cameroon,MSM,2013,Antiretroviral Treatment Coverage For Men Who Have Sex With Men And Female Sex Workers Living With HIV In Cameroon,Holland et al.,https://pubmed.ncbi.nlm.nih.gov/25723989/,Yes
53,CMR,Cameroon,FSW,2016,2016 Integrated Biological and Behavioral Survey (IBBS) Report among Key Populations in Cameroon: Female sex workers and men who have sex with men,"CARE Cameroon, JHU, Metabiota, Cameroon MoH",http://cdnss.minsante.cm/sites/default/files/IBBS2016.pdf,Yes
53,CMR,Cameroon,MSM,2016,2016 Integrated Biological and Behavioral Survey (IBBS) Report among Key Populations in Cameroon: Female sex workers and men who have sex with men,"CARE Cameroon, JHU, Metabiota, Cameroon MoH",http://cdnss.minsante.cm/sites/default/files/IBBS2016.pdf,Yes
54,CMR,Cameroon,FSW,2015,Mapping and size estimates of female sex workers in Cameroon: Toward informed policy for design and implementation in the national HIV program,Billong et al,https://pubmed.ncbi.nlm.nih.gov/30807616/,Yes
55,CMR,Cameroon,FSW,2018,"Cartographie Programmatique Et Estimation De Taille Des Travailleuses De Sexe, Des Hommes Ayant Des Rapports Sexuels Avec Des Hommes, Des Usagers De Drogue, Et Des Adolescent(E)S Et Jeunes Vulnerables Au VIH Au Cameroun",Cameroon MoH,http://cdnss.minsante.cm/sites/default/files/IBBS%202018.pdf,Yes
55,CMR,Cameroon,MSM,2018,"Cartographie Programmatique Et Estimation De Taille Des Travailleuses De Sexe, Des Hommes Ayant Des Rapports Sexuels Avec Des Hommes, Des Usagers De Drogue, Et Des Adolescent(E)S Et Jeunes Vulnerables Au VIH Au Cameroun",Cameroon MoH,http://cdnss.minsante.cm/sites/default/files/IBBS%202018.pdf,Yes
55,CMR,Cameroon,PWID,2018,"Cartographie Programmatique Et Estimation De Taille Des Travailleuses De Sexe, Des Hommes Ayant Des Rapports Sexuels Avec Des Hommes, Des Usagers De Drogue, Et Des Adolescent(E)S Et Jeunes Vulnerables Au VIH Au Cameroun",Cameroon MoH,http://cdnss.minsante.cm/sites/default/files/IBBS%202018.pdf,Yes
56,CMR,Cameroon,MSM,2011,Etude Integree De Surveillance Comportementale Et Biologique Chez Les Hommes Ayant Des Rapports Sexuels Avec Les Hommes Au Cameroun,Cameroon MoH,,No - obtained from UNAIDS source repository
58,COD,Congo - Kinshasa,MSM,2019,"Enquete De Surveillance Bio-Comportementale Aupres Des Populations Cles A Risque De L'infection Par Le VIH Dans 14 Provinces, 2018-2019",DRC MoH,https://espkinshasa.net/rapport-denquete-de-surveillance-bio-comportementale-aupres-des-populations-cles-a-risque-de-linfection-par-le-vih-dans-14-provinces-2018-2019/,Yes
58,COD,Congo - Kinshasa,PWID,2019,"Enquete De Surveillance Bio-Comportementale Aupres Des Populations Cles A Risque De L'infection Par Le VIH Dans 14 Provinces, 2018-2019",DRC MoH,https://espkinshasa.net/rapport-denquete-de-surveillance-bio-comportementale-aupres-des-populations-cles-a-risque-de-linfection-par-le-vih-dans-14-provinces-2018-2019/,Yes
58,COD,Congo - Kinshasa,FSW,2019,"Enquete De Surveillance Bio-Comportementale Aupres Des Populations Cles A Risque De L'infection Par Le VIH Dans 14 Provinces, 2018-2019",DRC MoH,https://espkinshasa.net/rapport-denquete-de-surveillance-bio-comportementale-aupres-des-populations-cles-a-risque-de-linfection-par-le-vih-dans-14-provinces-2018-2019/,Yes
59,COD,Congo - Kinshasa,FSW,2013,"Rapport De L'enquete Sur L'estimation De La Taille Des Populations Cles Dans Six Provinces (Bas Congo, Katanga, Kinshasa, Orientale, Nord Et Sud Kivu) En RDC",DRC MoH,,Yes
59,COD,Congo - Kinshasa,MSM,2013,"Rapport De L'enquete Sur L'estimation De La Taille Des Populations Cles Dans Six Provinces (Bas Congo, Katanga, Kinshasa, Orientale, Nord Et Sud Kivu) En RDC",DRC MoH,,Yes
59,COD,Congo - Kinshasa,PWID,2013,"Rapport De L'enquete Sur L'estimation De La Taille Des Populations Cles Dans Six Provinces (Bas Congo, Katanga, Kinshasa, Orientale, Nord Et Sud Kivu) En RDC",DRC MoH,,Yes
60,COD,Congo - Kinshasa,FSW,2012,ENQUETE INTEGREE DE SURVEILLANCE COMPORTEMENTALE ET DE SEROPREVALENCE en REPUBLIQUE DEMOCRATIQUE DU CONGO RAPPORT Dâ€™ENQUETE,DRC MoH,https://www.medbox.org/document/enquete-integree-de-surveillance-comportementale-et-de-seroprevalence-ibbs-en-republique-democratique-du-congo-rapport-denquete#GO,Yes
61,COD,Congo - Kinshasa,MSM,2010,RAPPORT DE Lâ€™ENQUETE SUR LES FACTEURS EXPLICATIFS DE LA SEROPREVALENCE ELEVEE DE Lâ€™INFECTION A VIH/SIDA CHEZ LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES DE KINSHASA,DRC MoH,,Yes
62,COD,Congo - Kinshasa,FSW,2014,Rapport Annuel 2014,DRC MoH,,Yes
62,COD,Congo - Kinshasa,MSM,2014,Rapport Annuel 2014,DRC MoH,,Yes
62,COD,Congo - Kinshasa,PWID,2014,Rapport Annuel 2014,DRC MoH,,Yes
62,COD,Congo - Kinshasa,CFSW,2014,Rapport Annuel 2014,DRC MoH,,Yes
63,COD,Congo - Kinshasa,FSW,2017,"Méthodes d’estimation de la taille en RDC (MSM, PS, UDI)",,,Yes
63,COD,Congo - Kinshasa,MSM,2017,"Méthodes d’estimation de la taille en RDC (MSM, PS, UDI)",,,Yes
63,COD,Congo - Kinshasa,PWID,2017,"Méthodes d’estimation de la taille en RDC (MSM, PS, UDI)",,,Yes
64,COD,Congo - Kinshasa,FSW,2018,RAPPORT DE Lâ€™ENQUETE SUR LA CARTOGRAPHIE PROGRAMMATIQUE ET ESTIMATION DE TAILLE DES POPULATIONS CLES EXPOSEES AUX RISQUES DU VIH/ SIDA ET DES IST DANS 12 PROVINCES DE LA RDC,DRC MoH,https://www.pnls-rdc.org/wp-content/uploads/2022/06/Rapport-Carto-et-estimations-de-la-taille-des-Key-Pop-en-RDC-vf.pdf,Yes
64,COD,Congo - Kinshasa,MSM,2018,RAPPORT DE Lâ€™ENQUETE SUR LA CARTOGRAPHIE PROGRAMMATIQUE ET ESTIMATION DE TAILLE DES POPULATIONS CLES EXPOSEES AUX RISQUES DU VIH/ SIDA ET DES IST DANS 12 PROVINCES DE LA RDC,DRC MoH,https://www.pnls-rdc.org/wp-content/uploads/2022/06/Rapport-Carto-et-estimations-de-la-taille-des-Key-Pop-en-RDC-vf.pdf,Yes
64,COD,Congo - Kinshasa,PWID,2018,RAPPORT DE Lâ€™ENQUETE SUR LA CARTOGRAPHIE PROGRAMMATIQUE ET ESTIMATION DE TAILLE DES POPULATIONS CLES EXPOSEES AUX RISQUES DU VIH/ SIDA ET DES IST DANS 12 PROVINCES DE LA RDC,DRC MoH,https://www.pnls-rdc.org/wp-content/uploads/2022/06/Rapport-Carto-et-estimations-de-la-taille-des-Key-Pop-en-RDC-vf.pdf,Yes
65,COD,Congo - Kinshasa,FSW,2017,Priorities for local AIDS control efforts Report - PRELIMINARY REPORT,,,No - obtained from UNAIDS source repository
65,COD,Congo - Kinshasa,MSM,2017,Priorities for local AIDS control efforts Report - PRELIMINARY REPORT,,,No - obtained from UNAIDS source repository
66,COG,Congo - Brazzaville,MSM,2012,"Enquete Comportementale Couplee A La Serologie VIH Chez Les Professionnelles Du Sexe, Les Hommes Ayant Des Rapports Sexuels Avec Les Hommes Et Les Detenus En Republique Du Congo Rapport Final",Congo MoH,http://www.plateforme-elsa.org/_files/Rapport_PS_MSM_Detenus_Congo.pdf,Yes
66,COG,Congo - Brazzaville,FSW,2012,"Enquete Comportementale Couplee A La Serologie VIH Chez Les Professionnelles Du Sexe, Les Hommes Ayant Des Rapports Sexuels Avec Les Hommes Et Les Detenus En Republique Du Congo Rapport Final",Congo MoH,http://www.plateforme-elsa.org/_files/Rapport_PS_MSM_Detenus_Congo.pdf,Yes
67,COG,Congo - Brazzaville,FSW,2017,Rapport De La Cartographie Programmatique Et Estimation De La Taille Des Populations Cles Les Plus Exposees Aux Risques Du VIH/Sida,Congo MoH,,Yes
67,COG,Congo - Brazzaville,MSM,2017,Rapport De La Cartographie Programmatique Et Estimation De La Taille Des Populations Cles Les Plus Exposees Aux Risques Du VIH/Sida,Congo MoH,,Yes
67,COG,Congo - Brazzaville,PWID,2017,Rapport De La Cartographie Programmatique Et Estimation De La Taille Des Populations Cles Les Plus Exposees Aux Risques Du VIH/Sida,Congo MoH,,Yes
68,ETH,Ethiopia,FSW,2013,"Ethiopian National Key Population HIV Bio-behavioral Surveillance Round I, 2013 Report",The Ethiopian Pulblic Health Institute,,Yes
